safe,release_speed,plate_x,plate_z,pop_time,exchange_time,arm_strength,lead,sprint_speed,swing,delta_run_exp
0,91.5,-0.12,4.01,2.010842105,0.744815789,80.030210526,10.978130435,28,0,0.048
0,90.5,-0.63,3.26,2.010842105,0.744815789,80.030210526,10.978130435,28.7,0,-0.073
1,93.2,-0.5,2.74,2.010842105,0.744815789,80.030210526,10.978130435,28.1,0,-0.228
1,93.3,0.04,1.94,2.010842105,0.744815789,80.030210526,10.978130435,28.3,0,0.031
1,93.2,0.9,2.6,2.010842105,0.744815789,80.030210526,10.978130435,26.4,1,-0.327
1,94,0.52,3.56,2.010842105,0.744815789,80.030210526,10.978130435,29.1,0,0.017
1,86.8,0.15,3.07,2.010842105,0.744815789,80.030210526,10.978130435,27.7,1,-0.073
0,83.5,-0.88,1.96,2.010842105,0.744815789,80.030210526,10.978130435,30.7,0,0.062
0,85.5,0.68,2.06,2.010842105,0.744815789,80.030210526,10.978130435,28.1,1,-0.367
1,87,1.25,3.26,2.010842105,0.744815789,80.030210526,10.978130435,28.5,0,0.084
0,83.1,0.27,2.36,2.010842105,0.744815789,80.030210526,10.978130435,26.4,1,-0.052
1,86.1,0.52,1.72,2.180928571,0.895571429,78.048785714,10.978130435,29.6,0,0.058
1,86,-1.54,0.15,2.180928571,0.895571429,78.048785714,10.978130435,29.6,0,0.017
1,91.4,0.69,3.54,2.010842105,0.744815789,80.030210526,10.978130435,28.8,0,0.162
1,79.6,0.38,3.11,1.960848485,0.698939394,80.9561875,9.533,28.8,0,-0.047
1,90.9,-0.04,3.24,2.017,0.76762963,81.297962963,12.5885,28.9,0,-0.052
1,91.2,0,3.97,2.017,0.76762963,81.297962963,12.5885,28.8,0,0.054
1,89.8,-1,3.22,2.01325,0.822833333,83.309,12.5885,27.9,0,0.054
0,90,1.16,1.75,2.017,0.76762963,81.297962963,12.5885,28,1,-0.092
1,90,0.41,2.54,2.017,0.76762963,81.297962963,12.5885,29.7,0,-0.054
1,91.7,-0.61,3.02,2.228,0.8745,75.3979,12.5885,28,0,-0.092
0,90.1,-0.61,3.99,2.01348,0.774291667,80.65608,11.790636364,26.7,0,0.084
